0,0,0,rate,ampl,duration
0,0,0,0.5,8.268211274945809e-14,124.995
0,0,0,0.0,0.0,0.0
0,0,0,0.5,6.978810932563858e-14,183.326
0,0,0,0.5,9.125200041945045e-14,158.327
0,0,0,0.5,4.9958191679456853e-14,116.662
0,0,0,0.5,9.79576629078081e-14,108.32900000000001
0,0,0,0.5,9.463034115730624e-14,108.32900000000001
0,0,0,0.5,6.566714695951975e-14,124.995
0,0,0,0.5,1.6488125755705711e-13,141.661
0,0,0,1.0,1.1640460920611361e-13,187.4925
0,0,0,1.0,1.1823555402258655e-13,129.1615
0,0,0,0.0,0.0,0.0
0,0,0,0.5,6.914362577108563e-14,149.994
0,0,0,0.0,0.0,0.0
0,0,0,0.5,1.1857266537914338e-13,108.32900000000001
0,0,0,0.0,0.0,0.0
0,0,0,0.5,8.499339876751946e-14,141.661
0,0,0,0.5,1.2259589072322255e-13,108.32900000000001
0,0,0,0.0,0.0,0.0
0,0,0,0.5,1.1637880590087073e-13,108.32900000000001
0,0,0,0.5,1.0604758142100523e-13,133.328
0,0,0,0.5,1.4113454037553918e-13,191.659
0,0,0,0.5,5.626596359508582e-14,108.32900000000001
0,0,0,0.0,0.0,0.0
0,0,0,0.5,7.612031446666569e-14,141.661
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.5,7.420570196655139e-14,124.995
0,0,0,1.0,1.270486154770043e-13,158.327
0,0,0,0.5,1.403044147918688e-13,141.661
0,0,0,0.5,1.274790738678333e-13,116.662
0,0,0,0.0,0.0,0.0
0,0,0,0.5,7.94347498455651e-14,116.662
0,0,0,0.5,9.732419186304494e-14,108.32900000000001
0,0,0,0.0,0.0,0.0
0,0,0,0.5,1.3753849388648452e-13,208.32500000000002
0,0,0,0.0,0.0,0.0
0,0,0,0.5,4.540436161034306e-14,141.661
0,0,0,0.5,5.16953680888999e-14,124.995
0,0,0,0.0,0.0,0.0
0,0,0,1.0,1.223784355145443e-13,124.995
0,0,0,1.5,1.4872808355676027e-13,127.77266666666668
0,0,0,0.5,1.4936612072146264e-13,166.66
0,0,0,0.0,0.0,0.0
0,0,0,1.0,1.5599615310479288e-13,129.1615
0,0,0,0.5,1.2592294223192891e-13,108.32900000000001
0,0,0,0.5,1.4156022308555513e-13,124.995
0,0,0,0.5,8.091244093123424e-14,124.995
0,0,0,0.0,0.0,0.0
0,0,0,1.0,2.311933726061608e-13,129.1615
0,0,0,0.0,0.0,0.0
0,0,0,0.5,2.8273379881743633e-13,108.32900000000001
0,0,0,1.0,2.5379432197722046e-13,141.661
0,0,0,1.0,1.4345664540716922e-13,158.327
0,0,0,0.5,1.7057202253402417e-13,141.661
0,0,0,0.5,2.1581442062691822e-13,158.327
0,0,0,0.5,1.053575513138057e-13,116.662
0,0,0,0.5,2.693299831289163e-13,191.659
0,0,0,0.0,0.0,0.0
0,0,0,0.5,1.0785896921138527e-13,116.662
0,0,0,0.5,2.738343195072075e-13,116.662
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,1.0,1.4941114402496889e-13,120.8285
0,0,0,1.0,1.5769542613924147e-13,112.4955
0,0,0,0.5,9.450139058596804e-14,124.995
0,0,0,0.5,2.1504519719990793e-13,116.662
0,0,0,1.0,2.862283528725223e-13,145.82750000000001
